Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
150,-,-,2,2,2,2,10,8,4/30/2017 5:30:0,4/30/2017 16:25:0,5/1/2017 12:29:0,
151,-,-,3,2,2,2,11,7,4/5/2017 12:35:0,4/6/2017 0:10:0,4/7/2017 0:10:0,
152,-,-,2,2,2,2,10,8,4/7/2017 0:55:0,4/7/2017 11:10:0,4/8/2017 12:29:0,
153,KUL,-,4,4,3,1,40,11,4/10/2017 12:0:0,4/12/2017 4:45:0,4/13/2017 10:45:0,
154,BKK,-,4,4,3,1,41,10,4/13/2017 12:5:0,4/15/2017 6:0:0,4/16/2017 12:0:0,
155,-,-,2,2,2,2,10,8,4/17/2017 0:40:0,4/17/2017 11:20:0,4/18/2017 12:29:0,
156,KWI,-,4,2,1,1,37,11,4/22/2017 11:25:0,4/24/2017 1:15:0,4/25/2017 0:10:0,
157,-,-,3,2,2,2,5,3,4/27/2017 17:50:0,4/27/2017 23:20:0,4/29/2017 0:10:0,
158,-,-,2,2,2,2,10,7,4/6/2017 1:5:0,4/6/2017 12:0:0,4/7/2017 0:0:0,
159,-,-,4,2,2,2,13,11,4/9/2017 11:45:0,4/10/2017 1:0:0,4/12/2017 0:30:0,
160,LHR,-,6,2,1,1,49,23,4/12/2017 6:0:0,4/14/2017 7:40:0,4/17/2017 0:30:0,
161,PVG,-,5,2,1,1,65,15,4/17/2017 6:40:0,4/20/2017 0:35:0,4/21/2017 9:30:0,
162,SIN,-,4,4,3,1,42,11,4/21/2017 11:45:0,4/23/2017 6:5:0,4/24/2017 12:5:0,
163,-,-,2,2,2,2,11,8,4/25/2017 0:35:0,4/25/2017 12:20:0,4/26/2017 12:29:0,
164,-,-,3,2,2,2,7,5,4/26/2017 16:55:0,4/27/2017 0:35:0,4/28/2017 0:10:0,
165,-,-,3,2,2,2,11,9,4/30/2017 12:30:0,4/30/2017 23:55:0,5/2/2017 17:30:0,
166,-,-,3,2,2,2,11,7,4/3/2017 12:35:0,4/4/2017 0:10:0,4/5/2017 0:10:0,
167,-,-,2,2,2,2,10,7,4/5/2017 1:5:0,4/5/2017 12:0:0,4/6/2017 0:0:0,
168,-,-,2,2,2,2,10,7,4/7/2017 0:55:0,4/7/2017 10:55:0,4/7/2017 22:55:0,
169,-,-,2,2,2,2,11,8,4/8/2017 5:25:0,4/8/2017 16:25:0,4/9/2017 12:29:0,
170,JED,-,4,2,1,1,39,13,4/11/2017 7:55:0,4/12/2017 23:15:0,4/14/2017 0:10:0,
171,BKK,-,5,4,2,1,66,13,4/14/2017 0:20:0,4/16/2017 18:40:0,4/18/2017 0:40:0,
172,-,-,2,2,2,2,11,8,4/19/2017 0:35:0,4/19/2017 12:20:0,4/20/2017 12:29:0,
173,-,-,3,2,2,2,7,5,4/20/2017 16:55:0,4/21/2017 0:35:0,4/22/2017 0:10:0,
174,-,-,2,2,2,2,10,8,4/22/2017 0:40:0,4/22/2017 11:20:0,4/23/2017 12:29:0,
175,-,-,3,2,2,2,11,9,4/25/2017 12:30:0,4/25/2017 23:55:0,4/27/2017 17:30:0,
176,-,-,2,2,2,2,10,8,4/29/2017 0:35:0,4/29/2017 11:20:0,4/30/2017 12:29:0,
177,-,-,4,2,2,2,13,11,4/4/2017 11:35:0,4/5/2017 0:50:0,4/7/2017 0:30:0,
178,-,-,3,2,2,2,5,3,4/9/2017 18:25:0,4/10/2017 0:0:0,4/11/2017 0:10:0,
179,-,-,3,2,2,2,7,5,4/11/2017 16:55:0,4/12/2017 0:35:0,4/13/2017 0:10:0,
180,-,-,4,2,2,2,12,10,4/13/2017 11:50:0,4/13/2017 23:55:0,4/16/2017 0:30:0,
181,-,-,2,2,2,2,12,10,4/16/2017 0:30:0,4/16/2017 12:30:0,4/17/2017 0:30:0,
182,KWI,-,4,2,1,1,37,11,4/17/2017 11:25:0,4/19/2017 1:15:0,4/20/2017 0:10:0,
183,NRT,-,6,2,1,1,47,19,4/22/2017 12:55:0,4/24/2017 12:45:0,4/27/2017 0:30:0,
184,-,-,3,2,2,2,11,9,4/3/2017 12:30:0,4/3/2017 23:55:0,4/5/2017 17:30:0,
185,-,-,3,2,2,2,7,5,4/10/2017 16:55:0,4/11/2017 0:35:0,4/12/2017 0:10:0,
186,-,-,2,2,2,2,10,8,4/12/2017 7:10:0,4/12/2017 17:20:0,4/13/2017 17:30:0,
187,-,-,3,2,2,2,5,3,4/13/2017 17:50:0,4/13/2017 23:20:0,4/15/2017 0:10:0,
188,-,-,2,2,2,2,11,9,4/15/2017 1:15:0,4/15/2017 12:20:0,4/16/2017 0:20:0,
189,DOH,-,4,4,3,1,41,13,4/17/2017 6:55:0,4/19/2017 0:50:0,4/20/2017 0:10:0,
190,-,-,2,2,2,2,10,8,4/21/2017 5:30:0,4/21/2017 16:25:0,4/22/2017 12:29:0,
191,-,-,2,2,2,2,12,10,4/24/2017 0:30:0,4/24/2017 12:30:0,4/25/2017 0:30:0,
